"kind","scenario","n","effect","kappa_theta","kappa_phi","method","rejection_rate","R","mc_error","B","alpha","target_R","completed"
"reduced_sensitivity","A4_multimodal",100,8,4,8,"HSIC fixed-grid sensitivity",0.618,500,0.0217290588843604,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,4,8,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,8,8,"HSIC fixed-grid sensitivity",0.034,500,0.00810481338464989,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,8,8,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,8,8,"HSIC fixed-grid sensitivity",0.884,500,0.0143208938268531,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,8,8,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,16,8,"HSIC fixed-grid sensitivity",0.042,500,0.00897061870775924,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,16,8,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,16,8,"HSIC fixed-grid sensitivity",0.914,500,0.0125382614424808,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,16,8,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,32,8,"HSIC fixed-grid sensitivity",0.052,500,0.00992935043192655,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,32,8,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,32,8,"HSIC fixed-grid sensitivity",0.882,500,0.0144274737913468,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,32,8,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,0.5,16,"HSIC fixed-grid sensitivity",0.03,500,0.00762889244910426,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,0.5,16,"HSIC fixed-grid sensitivity",0.744,500,0.0195173768729304,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,0.5,16,"HSIC fixed-grid sensitivity",0.058,500,0.0104533248299285,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,0.5,16,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,1,16,"HSIC fixed-grid sensitivity",0.028,500,0.00737780455149091,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,1,16,"HSIC fixed-grid sensitivity",0.998,500,0.00199799899899875,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,1,16,"HSIC fixed-grid sensitivity",0.09,500,0.0127984374046209,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,1,16,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,2,16,"HSIC fixed-grid sensitivity",0.03,500,0.00762889244910426,499,0.05,500,TRUE
