method,statistic,p.value,retained_grid_points,kind,scenario,n,effect,repetition,B,seed
naive Euclidean-angle HSIC anti-example,0.00217482840470862,0.344,NA,null,N1_uniform_uniform,100,0,29,499,20460896
first-order trigonometric moment diagnostic,0.019249019042876,0.776,NA,null,N1_uniform_uniform,100,0,29,499,20460896
HSIC fixed,0.340871053945858,0.168,NA,null,N1_uniform_uniform,100,0,30,499,20460906
HSIC median,0.00229355455143564,0.346,NA,null,N1_uniform_uniform,100,0,30,499,20460906
HSIC standardized multi-scale,2.17102236990096,0.054,6,null,N1_uniform_uniform,100,0,30,499,20460906
naive Euclidean-angle HSIC anti-example,0.00313620024816173,0.18,NA,null,N1_uniform_uniform,100,0,30,499,20460906
first-order trigonometric moment diagnostic,0.0404527390718194,0.444,NA,null,N1_uniform_uniform,100,0,30,499,20460906
HSIC fixed,0.336228641695534,0.174,NA,null,N1_uniform_uniform,100,0,31,499,20460916
HSIC median,0.00188883513248429,0.47,NA,null,N1_uniform_uniform,100,0,31,499,20460916
HSIC standardized multi-scale,0.964724777906122,0.27,6,null,N1_uniform_uniform,100,0,31,499,20460916
naive Euclidean-angle HSIC anti-example,0.00209812697835382,0.362,NA,null,N1_uniform_uniform,100,0,31,499,20460916
first-order trigonometric moment diagnostic,0.0311543971149723,0.534,NA,null,N1_uniform_uniform,100,0,31,499,20460916
HSIC fixed,0.129580468691697,0.972,NA,null,N1_uniform_uniform,100,0,32,499,20460926
HSIC median,0.000549527755230995,0.964,NA,null,N1_uniform_uniform,100,0,32,499,20460926
HSIC standardized multi-scale,-1.07774583591788,0.972,7,null,N1_uniform_uniform,100,0,32,499,20460926
naive Euclidean-angle HSIC anti-example,0.00076757073672913,0.824,NA,null,N1_uniform_uniform,100,0,32,499,20460926
first-order trigonometric moment diagnostic,0.00863098754137435,0.948,NA,null,N1_uniform_uniform,100,0,32,499,20460926
HSIC fixed,0.159192603989335,0.888,NA,null,N1_uniform_uniform,100,0,33,499,20460936
HSIC median,0.00100423480424587,0.804,NA,null,N1_uniform_uniform,100,0,33,499,20460936
