method,statistic,p.value,retained_grid_points,kind,scenario,n,effect,repetition,B,seed
first-order trigonometric moment diagnostic,0.0273642578654999,0.262,NA,null,N4_mixture_mixture,200,0,439,499,20864996
HSIC fixed,0.136812730412425,0.184,NA,null,N4_mixture_mixture,200,0,440,499,20865006
HSIC median,0.00133281199515576,0.226,NA,null,N4_mixture_mixture,200,0,440,499,20865006
HSIC standardized multi-scale,1.90030084778493,0.066,5,null,N4_mixture_mixture,200,0,440,499,20865006
naive Euclidean-angle HSIC anti-example,0.00135932512066806,0.122,NA,null,N4_mixture_mixture,200,0,440,499,20865006
first-order trigonometric moment diagnostic,0.0480085892605627,0.038,NA,null,N4_mixture_mixture,200,0,440,499,20865006
HSIC fixed,0.0631773668595385,0.734,NA,null,N4_mixture_mixture,200,0,441,499,20865016
HSIC median,0.000220523956609395,0.958,NA,null,N4_mixture_mixture,200,0,441,499,20865016
HSIC standardized multi-scale,0.190923592787774,0.492,5,null,N4_mixture_mixture,200,0,441,499,20865016
naive Euclidean-angle HSIC anti-example,0.000355534518578981,0.718,NA,null,N4_mixture_mixture,200,0,441,499,20865016
first-order trigonometric moment diagnostic,0.00317860874378589,0.956,NA,null,N4_mixture_mixture,200,0,441,499,20865016
HSIC fixed,0.0601491221706368,0.83,NA,null,N4_mixture_mixture,200,0,442,499,20865026
HSIC median,0.000286255166735256,0.88,NA,null,N4_mixture_mixture,200,0,442,499,20865026
HSIC standardized multi-scale,0.885534103448496,0.272,5,null,N4_mixture_mixture,200,0,442,499,20865026
naive Euclidean-angle HSIC anti-example,0.000135492587078785,0.946,NA,null,N4_mixture_mixture,200,0,442,499,20865026
first-order trigonometric moment diagnostic,0.00805405953819077,0.812,NA,null,N4_mixture_mixture,200,0,442,499,20865026
HSIC fixed,0.054265187435911,0.838,NA,null,N4_mixture_mixture,200,0,443,499,20865036
HSIC median,0.000472141124918762,0.664,NA,null,N4_mixture_mixture,200,0,443,499,20865036
HSIC standardized multi-scale,-0.705028269155489,0.854,5,null,N4_mixture_mixture,200,0,443,499,20865036
naive Euclidean-angle HSIC anti-example,0.00269775522600728,0.024,NA,null,N4_mixture_mixture,200,0,443,499,20865036
first-order trigonometric moment diagnostic,0.00671751115089536,0.882,NA,null,N4_mixture_mixture,200,0,443,499,20865036
HSIC fixed,0.0860666858975041,0.472,NA,null,N4_mixture_mixture,200,0,444,499,20865046
HSIC median,0.00106441596304174,0.308,NA,null,N4_mixture_mixture,200,0,444,499,20865046
HSIC standardized multi-scale,-0.472750454018938,0.764,5,null,N4_mixture_mixture,200,0,444,499,20865046
naive Euclidean-angle HSIC anti-example,0.000474380693939987,0.596,NA,null,N4_mixture_mixture,200,0,444,499,20865046
first-order trigonometric moment diagnostic,0.0206801783331125,0.396,NA,null,N4_mixture_mixture,200,0,444,499,20865046
HSIC fixed,0.103229713439801,0.444,NA,null,N4_mixture_mixture,200,0,445,499,20865056
HSIC median,0.000822659767418784,0.428,NA,null,N4_mixture_mixture,200,0,445,499,20865056
HSIC standardized multi-scale,0.362916424696765,0.418,5,null,N4_mixture_mixture,200,0,445,499,20865056
naive Euclidean-angle HSIC anti-example,0.000492036984672792,0.566,NA,null,N4_mixture_mixture,200,0,445,499,20865056
first-order trigonometric moment diagnostic,0.0161682654512819,0.542,NA,null,N4_mixture_mixture,200,0,445,499,20865056
HSIC fixed,0.146850829743264,0.172,NA,null,N4_mixture_mixture,200,0,446,499,20865066
HSIC median,0.00156358481115475,0.156,NA,null,N4_mixture_mixture,200,0,446,499,20865066
HSIC standardized multi-scale,0.533412222471261,0.392,5,null,N4_mixture_mixture,200,0,446,499,20865066
naive Euclidean-angle HSIC anti-example,0.00131026945175061,0.162,NA,null,N4_mixture_mixture,200,0,446,499,20865066
first-order trigonometric moment diagnostic,0.0202533986692784,0.392,NA,null,N4_mixture_mixture,200,0,446,499,20865066
HSIC fixed,0.0792155728580903,0.616,NA,null,N4_mixture_mixture,200,0,447,499,20865076
HSIC median,0.000653102870815207,0.544,NA,null,N4_mixture_mixture,200,0,447,499,20865076
HSIC standardized multi-scale,-0.132795260177349,0.638,5,null,N4_mixture_mixture,200,0,447,499,20865076
naive Euclidean-angle HSIC anti-example,0.000817897191014212,0.374,NA,null,N4_mixture_mixture,200,0,447,499,20865076
first-order trigonometric moment diagnostic,0.00812863886502256,0.804,NA,null,N4_mixture_mixture,200,0,447,499,20865076
HSIC fixed,0.10094022368327,0.39,NA,null,N4_mixture_mixture,200,0,448,499,20865086
HSIC median,0.00120732560757111,0.264,NA,null,N4_mixture_mixture,200,0,448,499,20865086
HSIC standardized multi-scale,-1.0442850145081,0.934,5,null,N4_mixture_mixture,200,0,448,499,20865086
naive Euclidean-angle HSIC anti-example,0.000765380470275558,0.404,NA,null,N4_mixture_mixture,200,0,448,499,20865086
first-order trigonometric moment diagnostic,0.0108036537633017,0.714,NA,null,N4_mixture_mixture,200,0,448,499,20865086
HSIC fixed,0.0565665579073467,0.876,NA,null,N4_mixture_mixture,200,0,449,499,20865096
HSIC median,0.000248538975530456,0.936,NA,null,N4_mixture_mixture,200,0,449,499,20865096
HSIC standardized multi-scale,-0.233239856519852,0.686,5,null,N4_mixture_mixture,200,0,449,499,20865096
naive Euclidean-angle HSIC anti-example,0.000270326502010667,0.806,NA,null,N4_mixture_mixture,200,0,449,499,20865096
first-order trigonometric moment diagnostic,0.0123114725061045,0.628,NA,null,N4_mixture_mixture,200,0,449,499,20865096
HSIC fixed,0.0651932563316422,0.784,NA,null,N4_mixture_mixture,200,0,450,499,20865106
HSIC median,0.000458467510085423,0.748,NA,null,N4_mixture_mixture,200,0,450,499,20865106
HSIC standardized multi-scale,-1.22536380105614,0.96,5,null,N4_mixture_mixture,200,0,450,499,20865106
naive Euclidean-angle HSIC anti-example,0.00016647153770053,0.91,NA,null,N4_mixture_mixture,200,0,450,499,20865106
first-order trigonometric moment diagnostic,0.0101736796108209,0.742,NA,null,N4_mixture_mixture,200,0,450,499,20865106
HSIC fixed,0.13457607723654,0.186,NA,null,N4_mixture_mixture,200,0,451,499,20865116
HSIC median,0.000839236280296731,0.412,NA,null,N4_mixture_mixture,200,0,451,499,20865116
HSIC standardized multi-scale,0.823743179840082,0.288,5,null,N4_mixture_mixture,200,0,451,499,20865116
naive Euclidean-angle HSIC anti-example,0.00136215606702182,0.196,NA,null,N4_mixture_mixture,200,0,451,499,20865116
first-order trigonometric moment diagnostic,0.00662332380597408,0.876,NA,null,N4_mixture_mixture,200,0,451,499,20865116
HSIC fixed,0.04793568341644,0.9,NA,null,N4_mixture_mixture,200,0,452,499,20865126
HSIC median,0.000272169330670732,0.892,NA,null,N4_mixture_mixture,200,0,452,499,20865126
HSIC standardized multi-scale,-0.220729939322844,0.7,5,null,N4_mixture_mixture,200,0,452,499,20865126
naive Euclidean-angle HSIC anti-example,0.000213175768024493,0.862,NA,null,N4_mixture_mixture,200,0,452,499,20865126
first-order trigonometric moment diagnostic,0.00821654278584598,0.784,NA,null,N4_mixture_mixture,200,0,452,499,20865126
HSIC fixed,0.127970600783643,0.228,NA,null,N4_mixture_mixture,200,0,453,499,20865136
HSIC median,0.00128055354275939,0.302,NA,null,N4_mixture_mixture,200,0,453,499,20865136
HSIC standardized multi-scale,-0.436476467529532,0.768,5,null,N4_mixture_mixture,200,0,453,499,20865136
naive Euclidean-angle HSIC anti-example,0.00136108585462338,0.148,NA,null,N4_mixture_mixture,200,0,453,499,20865136
first-order trigonometric moment diagnostic,0.0124483729566234,0.6,NA,null,N4_mixture_mixture,200,0,453,499,20865136
HSIC fixed,0.145482837798711,0.2,NA,null,N4_mixture_mixture,200,0,454,499,20865146
HSIC median,0.00105801704242586,0.296,NA,null,N4_mixture_mixture,200,0,454,499,20865146
HSIC standardized multi-scale,1.22969345369014,0.172,5,null,N4_mixture_mixture,200,0,454,499,20865146
naive Euclidean-angle HSIC anti-example,0.0015659839693806,0.122,NA,null,N4_mixture_mixture,200,0,454,499,20865146
first-order trigonometric moment diagnostic,0.0130465466934623,0.604,NA,null,N4_mixture_mixture,200,0,454,499,20865146
HSIC fixed,0.0903935735967273,0.558,NA,null,N4_mixture_mixture,200,0,455,499,20865156
HSIC median,0.00028715076058389,0.864,NA,null,N4_mixture_mixture,200,0,455,499,20865156
HSIC standardized multi-scale,1.19562909218657,0.194,6,null,N4_mixture_mixture,200,0,455,499,20865156
naive Euclidean-angle HSIC anti-example,0.000171803034986543,0.916,NA,null,N4_mixture_mixture,200,0,455,499,20865156
first-order trigonometric moment diagnostic,0.0146661154868716,0.56,NA,null,N4_mixture_mixture,200,0,455,499,20865156
HSIC fixed,0.050759912894133,0.892,NA,null,N4_mixture_mixture,200,0,456,499,20865166
HSIC median,0.000321678215365881,0.812,NA,null,N4_mixture_mixture,200,0,456,499,20865166
HSIC standardized multi-scale,-1.12633768368189,0.952,6,null,N4_mixture_mixture,200,0,456,499,20865166
naive Euclidean-angle HSIC anti-example,0.000281842345582252,0.738,NA,null,N4_mixture_mixture,200,0,456,499,20865166
first-order trigonometric moment diagnostic,0.00929688554399887,0.762,NA,null,N4_mixture_mixture,200,0,456,499,20865166
HSIC fixed,0.147359471331028,0.144,NA,null,N4_mixture_mixture,200,0,457,499,20865176
HSIC median,0.001803217868518,0.206,NA,null,N4_mixture_mixture,200,0,457,499,20865176
HSIC standardized multi-scale,2.65463854401317,0.026,5,null,N4_mixture_mixture,200,0,457,499,20865176
naive Euclidean-angle HSIC anti-example,0.0010566905933604,0.22,NA,null,N4_mixture_mixture,200,0,457,499,20865176
first-order trigonometric moment diagnostic,0.0372279587214922,0.11,NA,null,N4_mixture_mixture,200,0,457,499,20865176
HSIC fixed,0.0597511163685765,0.812,NA,null,N4_mixture_mixture,200,0,458,499,20865186
HSIC median,0.000197073028828978,0.936,NA,null,N4_mixture_mixture,200,0,458,499,20865186
HSIC standardized multi-scale,1.21456782227722,0.188,5,null,N4_mixture_mixture,200,0,458,499,20865186
naive Euclidean-angle HSIC anti-example,0.000380273944869027,0.66,NA,null,N4_mixture_mixture,200,0,458,499,20865186
first-order trigonometric moment diagnostic,0.00542432311708064,0.882,NA,null,N4_mixture_mixture,200,0,458,499,20865186
HSIC fixed,0.0657088489373888,0.734,NA,null,N4_mixture_mixture,200,0,459,499,20865196
HSIC median,0.000569944261205189,0.608,NA,null,N4_mixture_mixture,200,0,459,499,20865196
HSIC standardized multi-scale,0.270732568493097,0.482,5,null,N4_mixture_mixture,200,0,459,499,20865196
naive Euclidean-angle HSIC anti-example,0.00144173706091458,0.134,NA,null,N4_mixture_mixture,200,0,459,499,20865196
first-order trigonometric moment diagnostic,0.00609769754151613,0.862,NA,null,N4_mixture_mixture,200,0,459,499,20865196
HSIC fixed,0.0884928266937919,0.56,NA,null,N4_mixture_mixture,200,0,460,499,20865206
HSIC median,0.000505306012953434,0.726,NA,null,N4_mixture_mixture,200,0,460,499,20865206
HSIC standardized multi-scale,-0.209553211047882,0.666,5,null,N4_mixture_mixture,200,0,460,499,20865206
naive Euclidean-angle HSIC anti-example,0.000200141371897051,0.89,NA,null,N4_mixture_mixture,200,0,460,499,20865206
first-order trigonometric moment diagnostic,0.0151594352032854,0.546,NA,null,N4_mixture_mixture,200,0,460,499,20865206
HSIC fixed,0.0705075689306287,0.706,NA,null,N4_mixture_mixture,200,0,461,499,20865216
HSIC median,0.000327334143698759,0.874,NA,null,N4_mixture_mixture,200,0,461,499,20865216
HSIC standardized multi-scale,0.877288037477461,0.262,5,null,N4_mixture_mixture,200,0,461,499,20865216
naive Euclidean-angle HSIC anti-example,0.000589447354528977,0.518,NA,null,N4_mixture_mixture,200,0,461,499,20865216
first-order trigonometric moment diagnostic,0.0168548358819371,0.476,NA,null,N4_mixture_mixture,200,0,461,499,20865216
HSIC fixed,0.120468181531821,0.274,NA,null,N4_mixture_mixture,200,0,462,499,20865226
HSIC median,0.00163337189725432,0.196,NA,null,N4_mixture_mixture,200,0,462,499,20865226
HSIC standardized multi-scale,0.0195265684515182,0.572,5,null,N4_mixture_mixture,200,0,462,499,20865226
naive Euclidean-angle HSIC anti-example,0.0010406496782242,0.268,NA,null,N4_mixture_mixture,200,0,462,499,20865226
first-order trigonometric moment diagnostic,0.0263158371362846,0.224,NA,null,N4_mixture_mixture,200,0,462,499,20865226
HSIC fixed,0.131529071702341,0.246,NA,null,N4_mixture_mixture,200,0,463,499,20865236
HSIC median,0.000865033452026064,0.41,NA,null,N4_mixture_mixture,200,0,463,499,20865236
HSIC standardized multi-scale,2.88471286919497,0.016,5,null,N4_mixture_mixture,200,0,463,499,20865236
naive Euclidean-angle HSIC anti-example,0.0011552830407559,0.198,NA,null,N4_mixture_mixture,200,0,463,499,20865236
first-order trigonometric moment diagnostic,0.0342086554159773,0.12,NA,null,N4_mixture_mixture,200,0,463,499,20865236
HSIC fixed,0.0980669660512885,0.454,NA,null,N4_mixture_mixture,200,0,464,499,20865246
HSIC median,0.000809700500257109,0.422,NA,null,N4_mixture_mixture,200,0,464,499,20865246
HSIC standardized multi-scale,0.4340186562387,0.416,5,null,N4_mixture_mixture,200,0,464,499,20865246
naive Euclidean-angle HSIC anti-example,0.00062184575575655,0.474,NA,null,N4_mixture_mixture,200,0,464,499,20865246
first-order trigonometric moment diagnostic,0.0197016741156394,0.404,NA,null,N4_mixture_mixture,200,0,464,499,20865246
HSIC fixed,0.194323423567775,0.1,NA,null,N4_mixture_mixture,200,0,465,499,20865256
HSIC median,0.00221494582093303,0.056,NA,null,N4_mixture_mixture,200,0,465,499,20865256
HSIC standardized multi-scale,2.06121440721729,0.064,5,null,N4_mixture_mixture,200,0,465,499,20865256
naive Euclidean-angle HSIC anti-example,0.00156622510675911,0.116,NA,null,N4_mixture_mixture,200,0,465,499,20865256
first-order trigonometric moment diagnostic,0.0523990148719618,0.03,NA,null,N4_mixture_mixture,200,0,465,499,20865256
HSIC fixed,0.0375123487832052,0.992,NA,null,N4_mixture_mixture,200,0,466,499,20865266
HSIC median,0.000148785368447845,0.99,NA,null,N4_mixture_mixture,200,0,466,499,20865266
HSIC standardized multi-scale,-0.148091533474225,0.69,6,null,N4_mixture_mixture,200,0,466,499,20865266
naive Euclidean-angle HSIC anti-example,0.000237111560565862,0.852,NA,null,N4_mixture_mixture,200,0,466,499,20865266
first-order trigonometric moment diagnostic,0.00350810249015786,0.97,NA,null,N4_mixture_mixture,200,0,466,499,20865266
HSIC fixed,0.128700377015649,0.274,NA,null,N4_mixture_mixture,200,0,467,499,20865276
HSIC median,0.00121420771601242,0.288,NA,null,N4_mixture_mixture,200,0,467,499,20865276
HSIC standardized multi-scale,-0.288882274582019,0.712,5,null,N4_mixture_mixture,200,0,467,499,20865276
naive Euclidean-angle HSIC anti-example,0.00202385377245948,0.064,NA,null,N4_mixture_mixture,200,0,467,499,20865276
first-order trigonometric moment diagnostic,0.037934618404325,0.096,NA,null,N4_mixture_mixture,200,0,467,499,20865276
HSIC fixed,0.124661924702375,0.312,NA,null,N4_mixture_mixture,200,0,468,499,20865286
HSIC median,0.00113085391404158,0.34,NA,null,N4_mixture_mixture,200,0,468,499,20865286
HSIC standardized multi-scale,0.913238084621993,0.228,5,null,N4_mixture_mixture,200,0,468,499,20865286
naive Euclidean-angle HSIC anti-example,0.00202348454632246,0.066,NA,null,N4_mixture_mixture,200,0,468,499,20865286
first-order trigonometric moment diagnostic,0.0375531751833913,0.114,NA,null,N4_mixture_mixture,200,0,468,499,20865286
HSIC fixed,0.0679333081550582,0.778,NA,null,N4_mixture_mixture,200,0,469,499,20865296
HSIC median,0.000413749405915271,0.748,NA,null,N4_mixture_mixture,200,0,469,499,20865296
HSIC standardized multi-scale,-0.58359172936488,0.808,5,null,N4_mixture_mixture,200,0,469,499,20865296
naive Euclidean-angle HSIC anti-example,0.000256639364573954,0.834,NA,null,N4_mixture_mixture,200,0,469,499,20865296
first-order trigonometric moment diagnostic,0.00974967813832116,0.736,NA,null,N4_mixture_mixture,200,0,469,499,20865296
HSIC fixed,0.104438428520217,0.42,NA,null,N4_mixture_mixture,200,0,470,499,20865306
HSIC median,0.000686432395041327,0.488,NA,null,N4_mixture_mixture,200,0,470,499,20865306
HSIC standardized multi-scale,-0.952084293953019,0.91,5,null,N4_mixture_mixture,200,0,470,499,20865306
naive Euclidean-angle HSIC anti-example,0.000430134212042057,0.652,NA,null,N4_mixture_mixture,200,0,470,499,20865306
first-order trigonometric moment diagnostic,0.0195835118644551,0.46,NA,null,N4_mixture_mixture,200,0,470,499,20865306
HSIC fixed,0.0763598443242371,0.612,NA,null,N4_mixture_mixture,200,0,471,499,20865316
HSIC median,0.000427961150550956,0.702,NA,null,N4_mixture_mixture,200,0,471,499,20865316
HSIC standardized multi-scale,0.471131576062978,0.41,5,null,N4_mixture_mixture,200,0,471,499,20865316
naive Euclidean-angle HSIC anti-example,0.00099414877161098,0.276,NA,null,N4_mixture_mixture,200,0,471,499,20865316
first-order trigonometric moment diagnostic,0.0123459290313655,0.69,NA,null,N4_mixture_mixture,200,0,471,499,20865316
HSIC fixed,0.118338628986607,0.292,NA,null,N4_mixture_mixture,200,0,472,499,20865326
HSIC median,0.00072441746198933,0.566,NA,null,N4_mixture_mixture,200,0,472,499,20865326
HSIC standardized multi-scale,1.16163208519847,0.208,5,null,N4_mixture_mixture,200,0,472,499,20865326
naive Euclidean-angle HSIC anti-example,0.000291589775103297,0.814,NA,null,N4_mixture_mixture,200,0,472,499,20865326
first-order trigonometric moment diagnostic,0.0143163510150475,0.58,NA,null,N4_mixture_mixture,200,0,472,499,20865326
HSIC fixed,0.0926776855714785,0.46,NA,null,N4_mixture_mixture,200,0,473,499,20865336
HSIC median,0.000421965289580714,0.778,NA,null,N4_mixture_mixture,200,0,473,499,20865336
HSIC standardized multi-scale,0.41101107725371,0.464,6,null,N4_mixture_mixture,200,0,473,499,20865336
naive Euclidean-angle HSIC anti-example,0.000113027885259554,0.974,NA,null,N4_mixture_mixture,200,0,473,499,20865336
first-order trigonometric moment diagnostic,0.0152587251035831,0.562,NA,null,N4_mixture_mixture,200,0,473,499,20865336
HSIC fixed,0.268851694386596,0.028,NA,null,N4_mixture_mixture,200,0,474,499,20865346
HSIC median,0.00369681720777296,0.016,NA,null,N4_mixture_mixture,200,0,474,499,20865346
HSIC standardized multi-scale,1.33792128618852,0.15,5,null,N4_mixture_mixture,200,0,474,499,20865346
naive Euclidean-angle HSIC anti-example,0.00160631225598674,0.11,NA,null,N4_mixture_mixture,200,0,474,499,20865346
first-order trigonometric moment diagnostic,0.0453646905784706,0.058,NA,null,N4_mixture_mixture,200,0,474,499,20865346
HSIC fixed,0.125757812842407,0.254,NA,null,N4_mixture_mixture,200,0,475,499,20865356
HSIC median,0.000480349279570307,0.666,NA,null,N4_mixture_mixture,200,0,475,499,20865356
HSIC standardized multi-scale,1.70314849101821,0.092,5,null,N4_mixture_mixture,200,0,475,499,20865356
naive Euclidean-angle HSIC anti-example,0.000950722550769906,0.3,NA,null,N4_mixture_mixture,200,0,475,499,20865356
first-order trigonometric moment diagnostic,0.00722987592910085,0.826,NA,null,N4_mixture_mixture,200,0,475,499,20865356
HSIC fixed,0.0949796222605059,0.484,NA,null,N4_mixture_mixture,200,0,476,499,20865366
HSIC median,0.000615262996363647,0.518,NA,null,N4_mixture_mixture,200,0,476,499,20865366
HSIC standardized multi-scale,0.422814565286957,0.428,5,null,N4_mixture_mixture,200,0,476,499,20865366
naive Euclidean-angle HSIC anti-example,0.000321060872696022,0.752,NA,null,N4_mixture_mixture,200,0,476,499,20865366
first-order trigonometric moment diagnostic,0.0244742330624512,0.298,NA,null,N4_mixture_mixture,200,0,476,499,20865366
HSIC fixed,0.161755714488852,0.142,NA,null,N4_mixture_mixture,200,0,477,499,20865376
HSIC median,0.0012435790889466,0.216,NA,null,N4_mixture_mixture,200,0,477,499,20865376
HSIC standardized multi-scale,2.219127317028,0.044,5,null,N4_mixture_mixture,200,0,477,499,20865376
naive Euclidean-angle HSIC anti-example,0.00675629923072571,0.004,NA,null,N4_mixture_mixture,200,0,477,499,20865376
first-order trigonometric moment diagnostic,0.0500797094158877,0.046,NA,null,N4_mixture_mixture,200,0,477,499,20865376
HSIC fixed,0.0600919063831746,0.81,NA,null,N4_mixture_mixture,200,0,478,499,20865386
HSIC median,0.000471168809298552,0.664,NA,null,N4_mixture_mixture,200,0,478,499,20865386
HSIC standardized multi-scale,-1.04404758690109,0.92,5,null,N4_mixture_mixture,200,0,478,499,20865386
naive Euclidean-angle HSIC anti-example,0.000455381271861543,0.646,NA,null,N4_mixture_mixture,200,0,478,499,20865386
first-order trigonometric moment diagnostic,0.0145044978151341,0.57,NA,null,N4_mixture_mixture,200,0,478,499,20865386
HSIC fixed,0.0831263106269737,0.554,NA,null,N4_mixture_mixture,200,0,479,499,20865396
HSIC median,0.000766292861033775,0.558,NA,null,N4_mixture_mixture,200,0,479,499,20865396
HSIC standardized multi-scale,0.644533385816256,0.37,5,null,N4_mixture_mixture,200,0,479,499,20865396
naive Euclidean-angle HSIC anti-example,0.000754301751738509,0.416,NA,null,N4_mixture_mixture,200,0,479,499,20865396
first-order trigonometric moment diagnostic,0.0173530688228075,0.524,NA,null,N4_mixture_mixture,200,0,479,499,20865396
HSIC fixed,0.204508241509785,0.09,NA,null,N4_mixture_mixture,200,0,480,499,20865406
HSIC median,0.00212177628812728,0.078,NA,null,N4_mixture_mixture,200,0,480,499,20865406
HSIC standardized multi-scale,2.6289621455072,0.03,6,null,N4_mixture_mixture,200,0,480,499,20865406
naive Euclidean-angle HSIC anti-example,0.00154144040548917,0.126,NA,null,N4_mixture_mixture,200,0,480,499,20865406
first-order trigonometric moment diagnostic,0.0221481700051964,0.334,NA,null,N4_mixture_mixture,200,0,480,499,20865406
HSIC fixed,0.109870443103188,0.366,NA,null,N4_mixture_mixture,200,0,481,499,20865416
HSIC median,0.00119524687015995,0.258,NA,null,N4_mixture_mixture,200,0,481,499,20865416
HSIC standardized multi-scale,-0.358239327135821,0.736,5,null,N4_mixture_mixture,200,0,481,499,20865416
naive Euclidean-angle HSIC anti-example,0.000439903762161394,0.65,NA,null,N4_mixture_mixture,200,0,481,499,20865416
first-order trigonometric moment diagnostic,0.0357349335066185,0.142,NA,null,N4_mixture_mixture,200,0,481,499,20865416
HSIC fixed,0.164805597457672,0.11,NA,null,N4_mixture_mixture,200,0,482,499,20865426
HSIC median,0.00223304553869222,0.084,NA,null,N4_mixture_mixture,200,0,482,499,20865426
HSIC standardized multi-scale,0.836165728165585,0.314,5,null,N4_mixture_mixture,200,0,482,499,20865426
naive Euclidean-angle HSIC anti-example,0.000903488549767252,0.314,NA,null,N4_mixture_mixture,200,0,482,499,20865426
first-order trigonometric moment diagnostic,0.053852603094037,0.028,NA,null,N4_mixture_mixture,200,0,482,499,20865426
HSIC fixed,0.0917701472159285,0.45,NA,null,N4_mixture_mixture,200,0,483,499,20865436
HSIC median,0.00153910808610726,0.27,NA,null,N4_mixture_mixture,200,0,483,499,20865436
HSIC standardized multi-scale,-1.18360504207387,0.952,5,null,N4_mixture_mixture,200,0,483,499,20865436
naive Euclidean-angle HSIC anti-example,0.000702097435839353,0.394,NA,null,N4_mixture_mixture,200,0,483,499,20865436
first-order trigonometric moment diagnostic,0.0241192505516025,0.338,NA,null,N4_mixture_mixture,200,0,483,499,20865436
HSIC fixed,0.23320762493071,0.044,NA,null,N4_mixture_mixture,200,0,484,499,20865446
HSIC median,0.00312760945695471,0.038,NA,null,N4_mixture_mixture,200,0,484,499,20865446
HSIC standardized multi-scale,1.17147793756418,0.204,5,null,N4_mixture_mixture,200,0,484,499,20865446
naive Euclidean-angle HSIC anti-example,0.00208207780485146,0.062,NA,null,N4_mixture_mixture,200,0,484,499,20865446
first-order trigonometric moment diagnostic,0.0696007293842125,0.02,NA,null,N4_mixture_mixture,200,0,484,499,20865446
HSIC fixed,0.123297159293544,0.278,NA,null,N4_mixture_mixture,200,0,485,499,20865456
HSIC median,0.00135952294577474,0.198,NA,null,N4_mixture_mixture,200,0,485,499,20865456
HSIC standardized multi-scale,0.505723394317568,0.376,5,null,N4_mixture_mixture,200,0,485,499,20865456
naive Euclidean-angle HSIC anti-example,0.000520818121110315,0.558,NA,null,N4_mixture_mixture,200,0,485,499,20865456
first-order trigonometric moment diagnostic,0.0185452646400701,0.43,NA,null,N4_mixture_mixture,200,0,485,499,20865456
HSIC fixed,0.0590881227309837,0.868,NA,null,N4_mixture_mixture,200,0,486,499,20865466
HSIC median,0.000337361994553773,0.858,NA,null,N4_mixture_mixture,200,0,486,499,20865466
HSIC standardized multi-scale,-1.10492423760076,0.938,5,null,N4_mixture_mixture,200,0,486,499,20865466
naive Euclidean-angle HSIC anti-example,0.000787975137442255,0.348,NA,null,N4_mixture_mixture,200,0,486,499,20865466
first-order trigonometric moment diagnostic,0.00896925272250232,0.764,NA,null,N4_mixture_mixture,200,0,486,499,20865466
HSIC fixed,0.0894586992425207,0.46,NA,null,N4_mixture_mixture,200,0,487,499,20865476
HSIC median,0.000872906923685626,0.392,NA,null,N4_mixture_mixture,200,0,487,499,20865476
HSIC standardized multi-scale,0.358609790168873,0.456,5,null,N4_mixture_mixture,200,0,487,499,20865476
naive Euclidean-angle HSIC anti-example,0.000356864218681587,0.688,NA,null,N4_mixture_mixture,200,0,487,499,20865476
first-order trigonometric moment diagnostic,0.0238855153771559,0.326,NA,null,N4_mixture_mixture,200,0,487,499,20865476
HSIC fixed,0.162280241066753,0.112,NA,null,N4_mixture_mixture,200,0,488,499,20865486
HSIC median,0.00156383535577769,0.196,NA,null,N4_mixture_mixture,200,0,488,499,20865486
HSIC standardized multi-scale,2.02932907321211,0.05,6,null,N4_mixture_mixture,200,0,488,499,20865486
naive Euclidean-angle HSIC anti-example,0.000466549907463403,0.616,NA,null,N4_mixture_mixture,200,0,488,499,20865486
first-order trigonometric moment diagnostic,0.0416997510046476,0.088,NA,null,N4_mixture_mixture,200,0,488,499,20865486
HSIC fixed,0.085505757028671,0.53,NA,null,N4_mixture_mixture,200,0,489,499,20865496
HSIC median,0.000629608747646549,0.63,NA,null,N4_mixture_mixture,200,0,489,499,20865496
HSIC standardized multi-scale,0.403707757813678,0.436,5,null,N4_mixture_mixture,200,0,489,499,20865496
naive Euclidean-angle HSIC anti-example,0.00333025810296765,0.024,NA,null,N4_mixture_mixture,200,0,489,499,20865496
first-order trigonometric moment diagnostic,0.0113654237719899,0.674,NA,null,N4_mixture_mixture,200,0,489,499,20865496
HSIC fixed,0.152518532585691,0.156,NA,null,N4_mixture_mixture,200,0,490,499,20865506
HSIC median,0.00120721043547484,0.294,NA,null,N4_mixture_mixture,200,0,490,499,20865506
HSIC standardized multi-scale,0.646121790624353,0.344,5,null,N4_mixture_mixture,200,0,490,499,20865506
naive Euclidean-angle HSIC anti-example,0.000660365110828986,0.47,NA,null,N4_mixture_mixture,200,0,490,499,20865506
first-order trigonometric moment diagnostic,0.0231197831860365,0.316,NA,null,N4_mixture_mixture,200,0,490,499,20865506
HSIC fixed,0.261772443740832,0.018,NA,null,N4_mixture_mixture,200,0,491,499,20865516
HSIC median,0.00363971511151972,0.03,NA,null,N4_mixture_mixture,200,0,491,499,20865516
HSIC standardized multi-scale,3.1699942331599,0.014,5,null,N4_mixture_mixture,200,0,491,499,20865516
naive Euclidean-angle HSIC anti-example,0.00161263954028659,0.114,NA,null,N4_mixture_mixture,200,0,491,499,20865516
first-order trigonometric moment diagnostic,0.0445984362724205,0.066,NA,null,N4_mixture_mixture,200,0,491,499,20865516
HSIC fixed,0.0802459121117869,0.662,NA,null,N4_mixture_mixture,200,0,492,499,20865526
HSIC median,0.000555982943142253,0.682,NA,null,N4_mixture_mixture,200,0,492,499,20865526
