kind,scenario,n,effect,method,rejection_rate,R,mc_error,B,alpha,target_R,completed
alternative,A4_multimodal,100,4,first-order trigonometric moment diagnostic,0.046,500,0.009368457717,499,0.05,500,true
alternative,A4_multimodal,100,4,naive Euclidean-angle HSIC anti-example,0.034,500,0.008104813385,499,0.05,500,true
alternative,A4_multimodal,100,8,HSIC fixed,0.076,500,0.0118510759,499,0.05,500,true
alternative,A4_multimodal,100,8,HSIC median,0.042,500,0.008970618708,499,0.05,500,true
alternative,A4_multimodal,100,8,HSIC standardized multi-scale,0.914,500,0.01253826144,499,0.05,500,true
alternative,A4_multimodal,100,8,first-order trigonometric moment diagnostic,0.046,500,0.009368457717,499,0.05,500,true
alternative,A4_multimodal,100,8,naive Euclidean-angle HSIC anti-example,0.04,500,0.00876356092,499,0.05,500,true
alternative,A4_multimodal,200,1,HSIC fixed,0.036,500,0.00833114638,499,0.05,500,true
alternative,A4_multimodal,200,1,HSIC median,0.036,500,0.00833114638,499,0.05,500,true
alternative,A4_multimodal,200,1,HSIC standardized multi-scale,0.054,500,0.01010781876,499,0.05,500,true
alternative,A4_multimodal,200,1,first-order trigonometric moment diagnostic,0.032,500,0.007870959281,499,0.05,500,true
alternative,A4_multimodal,200,1,naive Euclidean-angle HSIC anti-example,0.062,500,0.01078480412,499,0.05,500,true
alternative,A4_multimodal,200,2,HSIC fixed,0.04,500,0.00876356092,499,0.05,500,true
alternative,A4_multimodal,200,2,HSIC median,0.036,500,0.00833114638,499,0.05,500,true
alternative,A4_multimodal,200,2,HSIC standardized multi-scale,0.082,500,0.01226996333,499,0.05,500,true
alternative,A4_multimodal,200,2,first-order trigonometric moment diagnostic,0.048,500,0.009559916318,499,0.05,500,true
alternative,A4_multimodal,200,2,naive Euclidean-angle HSIC anti-example,0.048,500,0.009559916318,499,0.05,500,true
alternative,A4_multimodal,200,4,HSIC fixed,0.07,500,0.01141052146,499,0.05,500,true
alternative,A4_multimodal,200,4,HSIC median,0.05,500,0.009746794345,499,0.05,500,true
alternative,A4_multimodal,200,4,HSIC standardized multi-scale,0.578,500,0.02208691921,499,0.05,500,true
alternative,A4_multimodal,200,4,first-order trigonometric moment diagnostic,0.048,500,0.009559916318,499,0.05,500,true
alternative,A4_multimodal,200,4,naive Euclidean-angle HSIC anti-example,0.052,500,0.009929350432,499,0.05,500,true
alternative,A4_multimodal,200,8,HSIC fixed,0.114,500,0.01421295184,499,0.05,500,true
alternative,A4_multimodal,200,8,HSIC median,0.042,500,0.008970618708,499,0.05,500,true
alternative,A4_multimodal,200,8,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A4_multimodal,200,8,first-order trigonometric moment diagnostic,0.046,500,0.009368457717,499,0.05,500,true
alternative,A4_multimodal,200,8,naive Euclidean-angle HSIC anti-example,0.036,500,0.00833114638,499,0.05,500,true
alternative,A4_multimodal,50,1,HSIC fixed,0.06,500,0.01062073444,499,0.05,500,true
alternative,A4_multimodal,50,1,HSIC median,0.06,500,0.01062073444,499,0.05,500,true
alternative,A4_multimodal,50,1,HSIC standardized multi-scale,0.052,500,0.009929350432,499,0.05,500,true
alternative,A4_multimodal,50,1,first-order trigonometric moment diagnostic,0.048,500,0.009559916318,499,0.05,500,true
alternative,A4_multimodal,50,1,naive Euclidean-angle HSIC anti-example,0.078,500,0.01199299796,499,0.05,500,true
alternative,A4_multimodal,50,2,HSIC fixed,0.052,500,0.009929350432,499,0.05,500,true
alternative,A4_multimodal,50,2,HSIC median,0.046,500,0.009368457717,499,0.05,500,true
alternative,A4_multimodal,50,2,HSIC standardized multi-scale,0.054,500,0.01010781876,499,0.05,500,true
alternative,A4_multimodal,50,2,first-order trigonometric moment diagnostic,0.05,500,0.009746794345,499,0.05,500,true
alternative,A4_multimodal,50,2,naive Euclidean-angle HSIC anti-example,0.054,500,0.01010781876,499,0.05,500,true
alternative,A4_multimodal,50,4,HSIC fixed,0.052,500,0.009929350432,499,0.05,500,true
alternative,A4_multimodal,50,4,HSIC median,0.042,500,0.008970618708,499,0.05,500,true
alternative,A4_multimodal,50,4,HSIC standardized multi-scale,0.112,500,0.01410361656,499,0.05,500,true
alternative,A4_multimodal,50,4,first-order trigonometric moment diagnostic,0.036,500,0.00833114638,499,0.05,500,true
alternative,A4_multimodal,50,4,naive Euclidean-angle HSIC anti-example,0.036,500,0.00833114638,499,0.05,500,true
alternative,A4_multimodal,50,8,HSIC fixed,0.038,500,0.008550555538,499,0.05,500,true
alternative,A4_multimodal,50,8,HSIC median,0.028,500,0.007377804551,499,0.05,500,true
alternative,A4_multimodal,50,8,HSIC standardized multi-scale,0.42,500,0.02207260746,499,0.05,500,true
alternative,A4_multimodal,50,8,first-order trigonometric moment diagnostic,0.028,500,0.007377804551,499,0.05,500,true
alternative,A4_multimodal,50,8,naive Euclidean-angle HSIC anti-example,0.042,500,0.008970618708,499,0.05,500,true
alternative,A5_local_dependence,100,1,HSIC fixed,0.788,500,0.01827873081,499,0.05,500,true
alternative,A5_local_dependence,100,1,HSIC median,0.752,500,0.0193130008,499,0.05,500,true
alternative,A5_local_dependence,100,1,HSIC standardized multi-scale,0.462,500,0.02229600861,499,0.05,500,true
alternative,A5_local_dependence,100,1,first-order trigonometric moment diagnostic,0.722,500,0.02003576802,499,0.05,500,true
alternative,A5_local_dependence,100,1,naive Euclidean-angle HSIC anti-example,0.578,500,0.02208691921,499,0.05,500,true
alternative,A5_local_dependence,100,2,HSIC fixed,0.998,500,0.001997998999,499,0.05,500,true
alternative,A5_local_dependence,100,2,HSIC median,0.998,500,0.001997998999,499,0.05,500,true
alternative,A5_local_dependence,100,2,HSIC standardized multi-scale,0.964,500,0.00833114638,499,0.05,500,true
alternative,A5_local_dependence,100,2,first-order trigonometric moment diagnostic,0.996,500,0.002822764602,499,0.05,500,true
alternative,A5_local_dependence,100,2,naive Euclidean-angle HSIC anti-example,0.976,500,0.006844559884,499,0.05,500,true
alternative,A5_local_dependence,100,4,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A5_local_dependence,100,4,HSIC median,1,500,0,499,0.05,500,true
alternative,A5_local_dependence,100,4,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A5_local_dependence,100,4,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A5_local_dependence,100,4,naive Euclidean-angle HSIC anti-example,1,500,0,499,0.05,500,true
alternative,A5_local_dependence,100,8,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A5_local_dependence,100,8,HSIC median,1,500,0,499,0.05,500,true
alternative,A5_local_dependence,100,8,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A5_local_dependence,100,8,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A5_local_dependence,100,8,naive Euclidean-angle HSIC anti-example,1,500,0,499,0.05,500,true
alternative,A5_local_dependence,200,1,HSIC fixed,0.982,500,0.005945754788,499,0.05,500,true
alternative,A5_local_dependence,200,1,HSIC median,0.972,500,0.007377804551,499,0.05,500,true
alternative,A5_local_dependence,200,1,HSIC standardized multi-scale,0.912,500,0.01266933305,499,0.05,500,true
alternative,A5_local_dependence,200,1,first-order trigonometric moment diagnostic,0.968,500,0.007870959281,499,0.05,500,true
alternative,A5_local_dependence,200,1,naive Euclidean-angle HSIC anti-example,0.906,500,0.01305097697,499,0.05,500,true
alternative,A5_local_dependence,200,2,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A5_local_dependence,200,2,HSIC median,1,500,0,499,0.05,500,true
alternative,A5_local_dependence,200,2,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A5_local_dependence,200,2,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A5_local_dependence,200,2,naive Euclidean-angle HSIC anti-example,1,500,0,499,0.05,500,true
alternative,A5_local_dependence,200,4,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A5_local_dependence,200,4,HSIC median,1,500,0,499,0.05,500,true
alternative,A5_local_dependence,200,4,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
alternative,A5_local_dependence,200,4,first-order trigonometric moment diagnostic,1,500,0,499,0.05,500,true
alternative,A5_local_dependence,200,4,naive Euclidean-angle HSIC anti-example,1,500,0,499,0.05,500,true
alternative,A5_local_dependence,200,8,HSIC fixed,1,500,0,499,0.05,500,true
alternative,A5_local_dependence,200,8,HSIC median,1,500,0,499,0.05,500,true
alternative,A5_local_dependence,200,8,HSIC standardized multi-scale,1,500,0,499,0.05,500,true
